,Flight No.,Launch site,Payload mass,Orbit,Customer,Version Booster,Date,Time,Class
74,75,CCAFS,15600,LEO,SpaceX,F9 B5,11 November 2019,14:56,1
75,76,CCAFS,2617,LEO,NASA (CRS),F9 B5,5 December 2019,17:29,1
76,77,CCAFS,6956,GTO,Sky Perfect JSATKacific 1,F9 B5B1056.3,17 December 2019,00:10,1
77,78,CCAFS,15600,LEO,SpaceX,F9 B5,7 January 2020,02:19:21,1
78,79,KSC,12050,Sub-orbital,NASA (CTS)[497],F9 B5,19 January 2020,15:30,0
79,80,CCAFS,15600,LEO,SpaceX,F9 B5,29 January 2020,14:07,1
80,81,CCAFS,15600,LEO,SpaceX,F9 B5,17 February 2020,15:05,0
81,82,CCAFS,1977,LEO,NASA (CRS),F9 B5,7 March 2020,04:50,1
82,83,KSC,15600,LEO,SpaceX,F9 B5,18 March 2020,12:16,0
83,84,KSC,15600,LEO,SpaceX,F9 B5,22 April 2020,19:30,1
84,85,KSC,12530,LEO,NASA (CCDev),F9 B5,30 May 2020,19:22,1
85,86,CCAFS,15600,LEO,SpaceX,F9 B5,4 June 2020,01:25,1
86,87,CCAFS,15410,LEO,SpaceXPlanet Labs,F9 B5,13 June 2020,09:21,1
87,88,CCAFS,4311,MEO,U.S. Space Force[530],F9 B5,30 June 2020,20:10:46,1
88,89,CCAFS,6000,GTO,Republic of Korea Army,F9 B5B1058.2,20 July 2020,21:30,1
89,90,KSC,14932,LEO,SpaceXSpaceflight Industries (BlackSky),F9 B5,7 August 2020,05:12,1
90,91,CCAFS,15440,LEO,SpaceXPlanet Labs,F9 B5B1049.6,18 August 2020,14:31,1
91,92,CCAFS,3130,SSO,CONAEPlanetIQTyvak,F9 B5,30 August 2020,23:18,1
92,93,KSC,15600,LEO,SpaceX,F9 B5B1060.2,3 September 2020,12:46:14,1
93,94,KSC,15600,LEO,SpaceX,F9 B5B1058.3,6 October 2020,11:29:34,1
94,95,KSC,15600,LEO,SpaceX,F9 B5B1051.6,18 October 2020,12:25:57,1
95,96,CCAFS,15600,LEO,SpaceX,F9 B5,24 October 2020,15:31:34,1
96,97,CCAFS,4311,MEO,USSF,F9 B5,5 November 2020,23:24:23,1
97,98,KSC,12500,LEO,NASA (CCP)[497],F9 B5,16 November 2020,00:27,1
98,99,VAFB,1192,LEO,NASA / NOAA / ESA / EUMETSAT,F9 B5,21 November 2020,17:17:08,1
99,100,CCAFS,15600,LEO,SpaceX,F9 B5 ♺,25 November 2020,02:13,1
100,101,KSC,2972,LEO,NASA (CRS),F9 B5 ♺,6 December 2020,16:17:08,1
101,102,CCSFS,7000,GTO,Sirius XM,F9 B5 ♺,13 December 2020,17:30:00,1
102,103,KSC,123456789,LEO,NRO,F9 B5 ♺,19 December 2020,14:00:00,1
103,104,CCSFS,3500,GTO,Türksat,F9 B5,8 January 2021,02:15,1
104,105,KSC,15600,LEO,SpaceX,F9 B5B1051.8,20 January 2021,13:02,1
105,106,CCSFS,5000,SSO,Various,F9 B5B1058.5,24 January 2021,15:00,1
